partition,bvid,text,label
学习区,learn_4,作业好多真的累确实#1520,
生活区,life_1,画面好看点赞同感#411,
生活区,life_4,看完心情变好了救命#1816,
学习区,learn_3,这节课效率很高哈哈#1343,
生活区,life_3,内容有趣支持姐妹们#1283,1
学习区,learn_3,学不会有点烦弹幕护体#1329,
生活区,life_2,节奏太慢有点烦同感#916,
学习区,learn_1,笔记已经记好了弹幕护体#151,
学习区,learn_1,看到题目就迷茫打卡29#29,
学习区,learn_1,例题很经典收获很多同感#23,1
学习区,learn_5,知识点总结很完整同感#2094,
学习区,learn_5,备考压力好大想哭第60遍看#2000,
生活区,life_3,这种分享很真实哈哈#1406,
学习区,learn_1,备考压力好大想哭同感#144,
生活区,life_1,有点尴尬姐妹们#47,
生活区,life_2,有点无聊看不下去期末人破防#744,
生活区,life_3,快乐就是这么简单期末人破防#1301,
学习区,learn_1,这个公式太痛苦打卡73#170,
生活区,life_5,好喜欢这种日常哈哈#2282,1
学习区,learn_5,知识点总结很完整哈哈#2425,1
生活区,life_2,标题党无语同感#622,
生活区,life_2,有点尴尬打卡10#980,
生活区,life_4,感觉不太真实救命#1719,
学习区,learn_3,越学越焦虑第89遍看#1253,
生活区,life_4,看着很舒服期末人破防#1970,
学习区,learn_5,讲解细节很到位哈哈#2316,
学习区,learn_1,看到题目就迷茫第85遍看#279,
学习区,learn_2,太难了完全听不懂打卡37#522,
学习区,learn_3,老师讲得很清楚终于懂了同感#1077,
学习区,learn_4,老师讲得很清楚终于懂了第17遍看#1569,
学习区,learn_2,讲解细节很到位打卡58#931,
学习区,learn_3,学不会有点烦三连了#1409,0
生活区,life_1,画面好看点赞姐妹们#21,
学习区,learn_2,知识点总结很完整第0遍看#970,
生活区,life_1,内容有趣支持弹幕护体#185,
学习区,learn_2,终于把公式理解了期末人破防#752,
生活区,life_5,剪辑有点乱期末人破防#2034,
学习区,learn_2,讲得有点快跟不上期末人破防#774,
学习区,learn_4,作业好多真的累打卡35#1878,
生活区,life_1,看完心情变好了姐妹们#378,
学习区,learn_4,太难了完全听不懂救命#1941,0
学习区,learn_3,讲得有点快跟不上哈哈#1450,
生活区,life_2,内容太水了没用打卡51#827,
学习区,learn_2,学会了感谢分享姐妹们#952,
生活区,life_5,画面好看点赞期末人破防#2313,1
生活区,life_1,这种分享很真实期末人破防#434,
生活区,life_3,内容太水了没用哈哈#1367,
生活区,life_1,标题党无语姐妹们#294,
生活区,life_5,这个视频太治愈了第96遍看#2133,
生活区,life_4,内容太水了没用期末人破防#1747,
生活区,life_2,看着很舒服打卡84#763,
生活区,life_3,看着很舒服三连了#1415,
生活区,life_3,体验一般确实#1445,
学习区,learn_2,例题很经典收获很多救命#911,
学习区,learn_1,学不会有点烦弹幕护体#476,
学习区,learn_2,学不会有点烦救命#837,
学习区,learn_5,终于把公式理解了打卡48#2279,
生活区,life_3,这个视频太治愈了打卡0#1261,
学习区,learn_4,越学越焦虑三连了#1874,
生活区,life_1,这个视频太治愈了三连了#48,
生活区,life_4,快乐就是这么简单打卡53#1605,
学习区,learn_4,老师讲得很清楚终于懂了第41遍看#1787,
生活区,life_4,看着很舒服姐妹们#1691,
学习区,learn_3,看到题目就迷茫打卡30#1291,0
学习区,learn_5,这个公式太痛苦同感#2264,
生活区,life_5,这个视频太治愈了弹幕护体#2188,1
学习区,learn_3,这个公式太痛苦确实#1402,
学习区,learn_2,这个知识点让我崩溃弹幕护体#971,0
学习区,learn_3,例题很经典收获很多哈哈#1224,
生活区,life_1,画面好看点赞救命#357,
学习区,learn_4,备考压力好大想哭救命#1865,
生活区,life_3,有点尴尬确实#1170,
学习区,learn_3,知识点总结很完整打卡20#1475,
学习区,learn_2,终于把公式理解了期末人破防#847,
学习区,learn_3,这个知识点让我崩溃救命#1374,
生活区,life_1,这个视频太治愈了打卡67#358,
生活区,life_1,有点无聊看不下去同感#414,
生活区,life_1,内容有趣支持期末人破防#499,
学习区,learn_5,例题很经典收获很多同感#2475,
生活区,life_3,内容有趣支持同感#1333,1
学习区,learn_4,终于把公式理解了哈哈#1671,
学习区,learn_1,这个公式太痛苦救命#308,
生活区,life_2,好喜欢这种日常救命#583,
生活区,life_3,真的很放松确实#1147,
生活区,life_1,真的很放松同感#193,
生活区,life_4,画面好看点赞哈哈#1718,
学习区,learn_4,越学越焦虑救命#1837,
学习区,learn_4,思路很清晰适合复习姐妹们#1769,0
学习区,learn_1,越学越焦虑打卡10#204,
学习区,learn_4,讲得有点快跟不上打卡24#1867,
学习区,learn_4,讲解细节很到位救命#1758,
生活区,life_5,这个视频太治愈了弹幕护体#2291,1
学习区,learn_3,讲解细节很到位确实#1497,
学习区,learn_4,学不会有点烦同感#1741,
生活区,life_4,生活感满满很温暖确实#1854,1
生活区,life_2,这种分享很真实第84遍看#860,
学习区,learn_1,作业好多真的累弹幕护体#282,0
生活区,life_2,内容有趣支持同感#656,
学习区,learn_5,学会了感谢分享确实#2325,
生活区,life_4,好喜欢这种日常哈哈#1533,
生活区,life_1,内容有趣支持同感#182,
学习区,learn_5,越学越焦虑第93遍看#2421,
生活区,life_3,看完心情变好了弹幕护体#1461,
学习区,learn_3,这个方法太有用了收藏同感#1308,
学习区,learn_4,讲得有点快跟不上弹幕护体#1730,
学习区,learn_1,复习效率太低了同感#375,
生活区,life_4,这个视频太治愈了救命#1678,1
学习区,learn_4,这个知识点让我崩溃姐妹们#1695,
学习区,learn_1,这节课效率很高姐妹们#429,
学习区,learn_4,老师讲得很清楚终于懂了弹幕护体#1966,
生活区,life_4,真的很放松弹幕护体#1926,
学习区,learn_5,知识点总结很完整姐妹们#2210,
生活区,life_4,看完没什么收获同感#1861,
生活区,life_3,这个视频太治愈了确实#1133,
学习区,learn_2,笔记已经记好了同感#849,
生活区,life_1,快乐就是这么简单确实#287,
学习区,learn_4,复习效率太低了弹幕护体#1985,
生活区,life_4,感觉不太真实期末人破防#1779,0
学习区,learn_1,作业好多真的累哈哈#112,
学习区,learn_4,这个方法太有用了收藏三连了#1580,
学习区,learn_1,这个方法太有用了收藏姐妹们#329,
生活区,life_5,画面好看点赞期末人破防#2112,
生活区,life_3,剪辑有点乱第48遍看#1309,
学习区,learn_2,笔记已经记好了第76遍看#658,
学习区,learn_4,讲得有点快跟不上确实#1947,
学习区,learn_1,笔记已经记好了哈哈#451,1
学习区,learn_3,备考压力好大想哭期末人破防#1326,
学习区,learn_2,学不会有点烦打卡91#673,0
生活区,life_3,看着很舒服弹幕护体#1087,1
学习区,learn_2,例题很经典收获很多三连了#723,
生活区,life_4,看着很舒服同感#1895,
生活区,life_4,标题党无语三连了#1774,
生活区,life_5,真的很放松弹幕护体#2299,1
学习区,learn_1,这个知识点让我崩溃三连了#320,
学习区,learn_5,这个公式太痛苦同感#2048,
生活区,life_4,评论区吵起来了三连了#1757,
生活区,life_3,内容有趣支持第13遍看#1177,1
生活区,life_4,这种分享很真实期末人破防#1810,
生活区,life_2,评论区吵起来了同感#524,
学习区,learn_5,知识点总结很完整期末人破防#2020,
学习区,learn_2,例题很经典收获很多确实#530,
生活区,life_2,生活感满满很温暖期末人破防#567,
生活区,life_2,这种分享很真实期末人破防#714,
生活区,life_3,有点尴尬姐妹们#1395,
学习区,learn_1,复习效率太低了打卡38#232,0
生活区,life_1,真的很放松期末人破防#122,
生活区,life_3,真的很放松第17遍看#1375,
生活区,life_5,看着很舒服打卡76#2210,
生活区,life_5,真的很放松第59遍看#2096,
学习区,learn_2,学不会有点烦弹幕护体#800,
学习区,learn_3,这个公式太痛苦确实#1435,
生活区,life_2,真的很放松同感#758,
生活区,life_2,这个视频太治愈了救命#518,
学习区,learn_4,越学越焦虑姐妹们#1775,
学习区,learn_3,看到题目就迷茫确实#1431,0
生活区,life_3,画面好看点赞第57遍看#1221,
生活区,life_1,画面好看点赞救命#184,
学习区,learn_2,这个知识点让我崩溃姐妹们#653,
学习区,learn_3,思路很清晰适合复习救命#1017,
学习区,learn_5,知识点总结很完整期末人破防#2443,
学习区,learn_5,讲得有点快跟不上救命#2322,
学习区,learn_5,思路很清晰适合复习确实#2447,
生活区,life_5,评论区吵起来了期末人破防#2431,0
生活区,life_4,快乐就是这么简单弹幕护体#1947,1
学习区,learn_2,终于把公式理解了同感#647,
学习区,learn_3,作业好多真的累确实#1223,
学习区,learn_5,看到题目就迷茫打卡66#2394,
学习区,learn_4,笔记已经记好了姐妹们#1634,1
学习区,learn_2,这个公式太痛苦确实#524,
学习区,learn_1,备考压力好大想哭期末人破防#18,
学习区,learn_4,例题很经典收获很多打卡54#1606,1
生活区,life_3,看着很舒服姐妹们#1119,1
生活区,life_5,这种分享很真实第56遍看#2481,
生活区,life_1,这种分享很真实弹幕护体#99,1
生活区,life_3,剪辑有点乱救命#1083,
生活区,life_2,这种分享很真实哈哈#648,
生活区,life_2,生活感满满很温暖救命#817,1
学习区,learn_3,思路很清晰适合复习弹幕护体#1488,
生活区,life_3,这种分享很真实姐妹们#1098,1
学习区,learn_1,讲解细节很到位弹幕护体#344,
生活区,life_5,好喜欢这种日常姐妹们#2158,
学习区,learn_4,这个公式太痛苦救命#1733,
生活区,life_4,真的很放松同感#1600,
生活区,life_2,节奏太慢有点烦确实#975,0
生活区,life_3,感觉不太真实姐妹们#1203,
生活区,life_1,画面好看点赞救命#249,
生活区,life_5,画面好看点赞弹幕护体#2411,
学习区,learn_5,知识点总结很完整三连了#2231,
学习区,learn_2,笔记已经记好了姐妹们#873,
学习区,learn_5,例题很经典收获很多救命#2186,
生活区,life_5,内容有趣支持弹幕护体#2398,1
生活区,life_3,好喜欢这种日常哈哈#1497,
生活区,life_1,这个视频太治愈了确实#61,
生活区,life_1,真的很放松弹幕护体#348,
学习区,learn_5,这个知识点让我崩溃姐妹们#2297,
生活区,life_1,节奏太慢有点烦第78遍看#369,
学习区,learn_3,学会了感谢分享救命#1314,
学习区,learn_1,太难了完全听不懂确实#39,0
生活区,life_4,看完心情变好了救命#1602,
生活区,life_5,生活感满满很温暖期末人破防#2391,
生活区,life_1,真的很放松第91遍看#91,
学习区,learn_1,思路很清晰适合复习确实#239,
学习区,learn_1,知识点总结很完整三连了#146,
学习区,learn_2,讲得有点快跟不上救命#806,
学习区,learn_5,学会了感谢分享打卡55#2480,
生活区,life_1,评论区吵起来了姐妹们#277,
生活区,life_1,真的很放松第93遍看#93,1
学习区,learn_4,例题很经典收获很多确实#1916,
学习区,learn_1,这个方法太有用了收藏打卡11#302,
学习区,learn_1,例题很经典收获很多第40遍看#137,1
生活区,life_3,画面好看点赞姐妹们#1079,
学习区,learn_2,终于把公式理解了期末人破防#888,
学习区,learn_5,越学越焦虑三连了#2228,
生活区,life_4,看完心情变好了同感#1560,
学习区,learn_2,知识点总结很完整姐妹们#980,
学习区,learn_5,太难了完全听不懂姐妹们#2451,
生活区,life_5,画面好看点赞救命#2374,
生活区,life_1,剪辑有点乱弹幕护体#326,
生活区,life_3,真的很放松第37遍看#1104,
生活区,life_2,标题党无语哈哈#664,
生活区,life_5,画面好看点赞弹幕护体#2462,
生活区,life_4,生活感满满很温暖第32遍看#1778,
学习区,learn_5,备考压力好大想哭确实#2350,
学习区,learn_2,越学越焦虑姐妹们#729,
学习区,learn_3,学不会有点烦哈哈#1022,
生活区,life_4,标题党无语救命#1963,
学习区,learn_3,越学越焦虑打卡69#1233,
学习区,learn_1,学不会有点烦期末人破防#460,
学习区,learn_3,这个公式太痛苦期末人破防#1366,
学习区,learn_2,这个方法太有用了收藏同感#632,
学习区,learn_2,这个公式太痛苦救命#909,
学习区,learn_1,思路很清晰适合复习确实#388,
学习区,learn_2,学不会有点烦期末人破防#848,
生活区,life_3,快乐就是这么简单期末人破防#1253,
生活区,life_2,这种分享很真实三连了#528,0
生活区,life_4,好喜欢这种日常第85遍看#1540,
学习区,learn_3,这个知识点让我崩溃哈哈#1243,
学习区,learn_1,作业好多真的累姐妹们#352,
生活区,life_5,快乐就是这么简单确实#2286,1
生活区,life_3,快乐就是这么简单哈哈#1411,
学习区,learn_2,越学越焦虑弹幕护体#742,
学习区,learn_2,太难了完全听不懂救命#586,
生活区,life_3,这种分享很真实三连了#1365,
学习区,learn_2,太难了完全听不懂确实#608,0
生活区,life_4,生活感满满很温暖弹幕护体#1843,1
学习区,learn_4,备考压力好大想哭哈哈#1736,
生活区,life_2,这种分享很真实期末人破防#870,1
学习区,learn_3,笔记已经记好了同感#1408,
学习区,learn_5,笔记已经记好了姐妹们#2003,
学习区,learn_1,看到题目就迷茫三连了#466,
学习区,learn_1,笔记已经记好了同感#228,
学习区,learn_1,这个公式太痛苦确实#139,
学习区,learn_1,这个公式太痛苦期末人破防#6,
学习区,learn_3,学会了感谢分享同感#1092,
生活区,life_5,画面好看点赞确实#2386,
学习区,learn_3,这个知识点让我崩溃哈哈#1038,
学习区,learn_4,这个知识点让我崩溃救命#1515,
学习区,learn_1,这个公式太痛苦救命#88,
生活区,life_1,体验一般哈哈#140,1
学习区,learn_1,思路很清晰适合复习三连了#100,1
学习区,learn_4,例题很经典收获很多确实#1633,
生活区,life_5,看完没什么收获弹幕护体#2384,0
生活区,life_5,内容太水了没用救命#2002,1
学习区,learn_2,备考压力好大想哭打卡93#966,
学习区,learn_1,讲解细节很到位弹幕护体#494,
生活区,life_1,评论区吵起来了弹幕护体#19,
学习区,learn_5,越学越焦虑打卡13#2438,
学习区,learn_2,思路很清晰适合复习同感#781,1
学习区,learn_5,老师讲得很清楚终于懂了期末人破防#2126,
学习区,learn_5,复习效率太低了姐妹们#2301,
生活区,life_2,生活感满满很温暖哈哈#924,1
生活区,life_1,生活感满满很温暖确实#245,
生活区,life_4,内容有趣支持期末人破防#1671,
生活区,life_4,快乐就是这么简单姐妹们#1801,
学习区,learn_3,讲解细节很到位同感#1373,
生活区,life_4,这个视频太治愈了救命#1991,1
生活区,life_2,这种分享很真实确实#588,
生活区,life_1,这个视频太治愈了三连了#84,
生活区,life_5,有点无聊看不下去同感#2468,0
学习区,learn_1,终于把公式理解了确实#480,
学习区,learn_5,这个知识点让我崩溃确实#2036,0
生活区,life_2,评论区吵起来了弹幕护体#850,
生活区,life_5,节奏太慢有点烦姐妹们#2095,
学习区,learn_2,笔记已经记好了姐妹们#798,1
生活区,life_3,这种分享很真实同感#1134,
学习区,learn_4,太难了完全听不懂期末人破防#1895,
学习区,learn_3,越学越焦虑打卡49#1116,
生活区,life_4,快乐就是这么简单救命#1800,
学习区,learn_3,这个公式太痛苦哈哈#1099,
生活区,life_2,感觉不太真实姐妹们#641,
学习区,learn_4,作业好多真的累打卡66#1618,
生活区,life_4,这个视频太治愈了确实#1775,
学习区,learn_5,复习效率太低了三连了#2039,
生活区,life_3,标题党无语三连了#1056,
学习区,learn_2,备考压力好大想哭确实#890,0
生活区,life_5,看完心情变好了姐妹们#2425,
学习区,learn_1,越学越焦虑打卡93#384,
生活区,life_2,这种分享很真实期末人破防#627,
学习区,learn_2,学会了感谢分享期末人破防#607,
生活区,life_3,这种分享很真实同感#1137,
生活区,life_2,这个视频太治愈了三连了#999,
学习区,learn_2,老师讲得很清楚终于懂了姐妹们#789,
学习区,learn_4,讲解细节很到位弹幕护体#1509,
学习区,learn_1,终于把公式理解了确实#89,
生活区,life_5,内容有趣支持救命#2472,
生活区,life_1,生活感满满很温暖期末人破防#275,
生活区,life_2,看完心情变好了确实#914,
学习区,learn_1,备考压力好大想哭确实#415,
学习区,learn_1,例题很经典收获很多同感#345,
生活区,life_4,生活感满满很温暖确实#1973,
生活区,life_3,有点无聊看不下去确实#1146,
学习区,learn_3,学不会有点烦确实#1440,
生活区,life_5,内容有趣支持期末人破防#2373,
学习区,learn_1,学会了感谢分享姐妹们#177,
生活区,life_5,看完心情变好了三连了#2164,
生活区,life_1,画面好看点赞弹幕护体#128,1
生活区,life_1,看着很舒服打卡81#178,
学习区,learn_1,复习效率太低了哈哈#323,0
生活区,life_4,节奏太慢有点烦确实#1826,
生活区,life_3,生活感满满很温暖打卡47#1308,
生活区,life_2,看完没什么收获期末人破防#540,
学习区,learn_2,这个方法太有用了收藏打卡6#782,1
生活区,life_3,节奏太慢有点烦期末人破防#1359,
生活区,life_2,评论区吵起来了同感#576,
生活区,life_1,这种分享很真实期末人破防#115,
学习区,learn_2,这节课效率很高弹幕护体#940,1
生活区,life_4,看着很舒服同感#1795,1
学习区,learn_4,笔记已经记好了弹幕护体#1854,
学习区,learn_3,知识点总结很完整确实#1027,
生活区,life_5,生活感满满很温暖三连了#2097,1
学习区,learn_5,老师讲得很清楚终于懂了同感#2106,
生活区,life_1,这个视频太治愈了期末人破防#314,
生活区,life_4,看完没什么收获三连了#1665,
生活区,life_5,看完心情变好了同感#2326,
学习区,learn_2,知识点总结很完整救命#595,
生活区,life_2,真的很放松三连了#760,
生活区,life_2,评论区吵起来了救命#784,
学习区,learn_5,讲得有点快跟不上救命#2369,
学习区,learn_3,作业好多真的累弹幕护体#1468,
学习区,learn_5,备考压力好大想哭救命#2047,0
生活区,life_2,看着很舒服打卡27#997,
生活区,life_1,这个视频太治愈了哈哈#344,
学习区,learn_3,老师讲得很清楚终于懂了期末人破防#1012,
学习区,learn_1,备考压力好大想哭哈哈#98,
学习区,learn_2,学不会有点烦救命#521,
学习区,learn_2,老师讲得很清楚终于懂了确实#643,
生活区,life_1,画面好看点赞确实#469,
生活区,life_3,这种分享很真实期末人破防#1179,1
学习区,learn_3,终于把公式理解了哈哈#1042,
学习区,learn_3,复习效率太低了弹幕护体#1221,0
生活区,life_1,这个视频太治愈了哈哈#283,
学习区,learn_3,越学越焦虑同感#1478,0
学习区,learn_2,这个方法太有用了收藏第9遍看#688,
生活区,life_2,评论区吵起来了第54遍看#636,0
生活区,life_3,这种分享很真实打卡42#1012,1
生活区,life_3,好喜欢这种日常弹幕护体#1187,
学习区,learn_3,复习效率太低了打卡5#1363,0
生活区,life_5,画面好看点赞确实#2168,1
生活区,life_3,体验一般姐妹们#1381,
学习区,learn_3,例题很经典收获很多救命#1097,
生活区,life_3,看完心情变好了哈哈#1281,
生活区,life_5,这个视频太治愈了弹幕护体#2294,
生活区,life_5,剪辑有点乱确实#2222,
学习区,learn_1,笔记已经记好了同感#7,
生活区,life_3,内容太水了没用第11遍看#1175,
生活区,life_4,这个视频太治愈了弹幕护体#1656,
生活区,life_4,剪辑有点乱救命#1880,
生活区,life_4,评论区吵起来了确实#1847,
生活区,life_2,好喜欢这种日常打卡65#647,
生活区,life_3,内容有趣支持三连了#1303,
生活区,life_2,有点无聊看不下去期末人破防#789,0
学习区,learn_2,老师讲得很清楚终于懂了期末人破防#763,
学习区,learn_4,这个公式太痛苦弹幕护体#1679,0
学习区,learn_5,这个公式太痛苦姐妹们#2196,
学习区,learn_5,讲得有点快跟不上确实#2431,
生活区,life_1,剪辑有点乱救命#36,0
生活区,life_4,这种分享很真实第71遍看#1623,0
学习区,learn_1,终于把公式理解了救命#379,
学习区,learn_4,学不会有点烦三连了#1725,
生活区,life_3,真的很放松第19遍看#1377,
学习区,learn_1,讲解细节很到位弹幕护体#442,
生活区,life_2,这种分享很真实期末人破防#553,
学习区,learn_5,终于把公式理解了第85遍看#2025,
生活区,life_1,体验一般打卡56#153,
生活区,life_4,剪辑有点乱姐妹们#1949,
学习区,learn_1,这个公式太痛苦姐妹们#24,0
生活区,life_5,看完心情变好了打卡66#2394,
生活区,life_3,这个视频太治愈了救命#1345,
学习区,learn_3,这个方法太有用了收藏打卡74#1238,
学习区,learn_2,思路很清晰适合复习救命#536,
学习区,learn_5,终于把公式理解了确实#2371,
学习区,learn_2,讲解细节很到位姐妹们#721,1
生活区,life_5,画面好看点赞打卡45#2179,
学习区,learn_3,作业好多真的累同感#1279,
生活区,life_2,真的很放松弹幕护体#673,
学习区,learn_5,知识点总结很完整弹幕护体#2194,
学习区,learn_2,这个公式太痛苦救命#526,
学习区,learn_5,这个公式太痛苦打卡60#2388,0
生活区,life_5,内容有趣支持姐妹们#2392,
生活区,life_1,内容有趣支持姐妹们#299,
生活区,life_3,内容有趣支持第43遍看#1110,
学习区,learn_4,学会了感谢分享打卡56#1608,
生活区,life_5,生活感满满很温暖三连了#2203,
学习区,learn_3,这节课效率很高哈哈#1088,
学习区,learn_3,备考压力好大想哭第83遍看#1150,
生活区,life_3,看着很舒服哈哈#1440,
生活区,life_1,看着很舒服期末人破防#345,
生活区,life_2,生活感满满很温暖同感#872,
学习区,learn_2,这个方法太有用了收藏期末人破防#568,
生活区,life_3,内容有趣支持期末人破防#1296,
生活区,life_5,生活感满满很温暖哈哈#2297,
学习区,learn_2,老师讲得很清楚终于懂了第78遍看#563,
生活区,life_1,这种分享很真实打卡67#164,
学习区,learn_5,这节课效率很高打卡81#2118,1
生活区,life_3,感觉不太真实姐妹们#1376,0
学习区,learn_3,越学越焦虑同感#1436,
学习区,learn_3,作业好多真的累救命#1302,
学习区,learn_4,讲解细节很到位打卡49#1504,
学习区,learn_5,作业好多真的累同感#2057,
生活区,life_4,感觉不太真实同感#1615,
学习区,learn_4,终于把公式理解了确实#1922,
生活区,life_5,看着很舒服同感#2048,
生活区,life_5,这个视频太治愈了第27遍看#2452,
学习区,learn_2,讲得有点快跟不上确实#967,
学习区,learn_5,讲得有点快跟不上第38遍看#2463,0
学习区,learn_4,这个知识点让我崩溃姐妹们#1522,0
生活区,life_1,体验一般第68遍看#165,
生活区,life_1,真的很放松同感#218,1
学习区,learn_4,例题很经典收获很多同感#1792,
学习区,learn_5,老师讲得很清楚终于懂了期末人破防#2265,
学习区,learn_3,这节课效率很高期末人破防#1445,
学习区,learn_3,讲解细节很到位三连了#1487,
学习区,learn_5,讲解细节很到位打卡82#2313,
生活区,life_1,这个视频太治愈了第48遍看#242,
学习区,learn_1,看到题目就迷茫弹幕护体#36,0
学习区,learn_2,看到题目就迷茫哈哈#958,
学习区,learn_5,备考压力好大想哭三连了#2119,
学习区,learn_2,太难了完全听不懂确实#694,0
生活区,life_2,快乐就是这么简单姐妹们#822,
生活区,life_4,画面好看点赞同感#1536,
生活区,life_4,看完心情变好了第84遍看#1927,1
学习区,learn_1,讲解细节很到位确实#489,
学习区,learn_3,越学越焦虑同感#1400,
学习区,learn_2,这节课效率很高同感#740,
生活区,life_3,生活感满满很温暖同感#1240,
学习区,learn_2,终于把公式理解了打卡66#648,1
学习区,learn_3,越学越焦虑打卡71#1332,
学习区,learn_5,太难了完全听不懂三连了#2351,
生活区,life_2,真的很放松第15遍看#888,
学习区,learn_4,学不会有点烦弹幕护体#1950,
生活区,life_2,看完没什么收获三连了#559,
生活区,life_2,看完心情变好了期末人破防#765,
生活区,life_1,内容有趣支持哈哈#424,1
生活区,life_4,真的很放松确实#1953,
学习区,learn_3,这个公式太痛苦确实#1152,
生活区,life_2,快乐就是这么简单救命#751,
生活区,life_2,内容有趣支持期末人破防#917,
生活区,life_2,剪辑有点乱哈哈#762,
学习区,learn_4,这个知识点让我崩溃三连了#1753,
生活区,life_2,内容有趣支持弹幕护体#983,1
学习区,learn_1,例题很经典收获很多三连了#432,
学习区,learn_5,终于把公式理解了期末人破防#2080,
生活区,life_4,这种分享很真实救命#1742,
学习区,learn_2,看到题目就迷茫姐妹们#975,
生活区,life_4,看着很舒服三连了#1877,
学习区,learn_1,老师讲得很清楚终于懂了同感#334,1
生活区,life_3,剪辑有点乱期末人破防#1197,
生活区,life_1,真的很放松哈哈#213,
生活区,life_4,画面好看点赞第53遍看#1799,1
学习区,learn_1,讲得有点快跟不上救命#423,
学习区,learn_3,这节课效率很高期末人破防#1437,
学习区,learn_4,终于把公式理解了姐妹们#1752,
学习区,learn_1,例题很经典收获很多同感#81,
生活区,life_5,这种分享很真实打卡81#2312,
生活区,life_4,节奏太慢有点烦第28遍看#1677,
生活区,life_4,这个视频太治愈了弹幕护体#1768,
生活区,life_2,这个视频太治愈了姐妹们#938,
学习区,learn_3,越学越焦虑确实#1458,
学习区,learn_3,老师讲得很清楚终于懂了姐妹们#1164,
学习区,learn_2,终于把公式理解了第69遍看#554,
学习区,learn_3,这个知识点让我崩溃哈哈#1432,
生活区,life_2,生活感满满很温暖同感#989,
